Qtext,Name,Question,Institution,Gender,Confidence,Medianconf,Vote,Median,Comment,Topic
"Question B: With the economy in lockdown, existing gaps in access to quality education between high- and low-income households will be exacerbated.",Oliver Hart,2,Harvard,m,7,7,Agree,Agree,NA,Inequality and the COVID-19 Crisis
"Question B: With the economy in lockdown, existing gaps in access to quality education between high- and low-income households will be exacerbated.",Emmanuel Saez,2,Berkeley,m,5,7,Agree,Agree,NA,Inequality and the COVID-19 Crisis
"Question B: With the economy in lockdown, existing gaps in access to quality education between high- and low-income households will be exacerbated.",Maurice Obstfeld,2,Berkeley,m,5,7,Agree,Agree,NA,Inequality and the COVID-19 Crisis
"Question B: With the economy in lockdown, existing gaps in access to quality education between high- and low-income households will be exacerbated.",Kenneth Judd,2,Stanford,m,7,7,Agree,Agree,Some districts have ~100% internet coverage. Some middle-income districts have much less coverage.,Inequality and the COVID-19 Crisis
"Question B: With the economy in lockdown, existing gaps in access to quality education between high- and low-income households will be exacerbated.",Abhijit Banerjee,2,MIT,m,6,7,Uncertain,Agree,NA,Inequality and the COVID-19 Crisis
"Question B: With the economy in lockdown, existing gaps in access to quality education between high- and low-income households will be exacerbated.",Christopher Udry,2,Northwestern,m,10,7,Strongly Agree,Agree,Both access to on line learning and support within the household.,Inequality and the COVID-19 Crisis
"Question B: With the economy in lockdown, existing gaps in access to quality education between high- and low-income households will be exacerbated.",Richard Schmalensee,2,MIT,m,8,7,Strongly Agree,Agree,"With education online and coffee shops and libraries closed, students without high-speed broadband are essentially shut out.",Inequality and the COVID-19 Crisis
"Question B: With the economy in lockdown, existing gaps in access to quality education between high- and low-income households will be exacerbated.",Barry Eichengreen,2,Berkeley,m,5,7,Strongly Agree,Agree,NA,Inequality and the COVID-19 Crisis
"Question B: With the economy in lockdown, existing gaps in access to quality education between high- and low-income households will be exacerbated.",Eric Maskin,2,Harvard,m,8,7,Agree,Agree,NA,Inequality and the COVID-19 Crisis
"Question B: With the economy in lockdown, existing gaps in access to quality education between high- and low-income households will be exacerbated.",Carl Shapiro,2,Berkeley,m,8,7,Agree,Agree,NA,Inequality and the COVID-19 Crisis
"Question B: With the economy in lockdown, existing gaps in access to quality education between high- and low-income households will be exacerbated.",Katherine Baicker,2,Chicago,f,3,7,Agree,Agree,NA,Inequality and the COVID-19 Crisis
"Question B: With the economy in lockdown, existing gaps in access to quality education between high- and low-income households will be exacerbated.",Alberto Alesina,2,Harvard,m,3,7,Uncertain,Agree,NA,Inequality and the COVID-19 Crisis
"Question B: With the economy in lockdown, existing gaps in access to quality education between high- and low-income households will be exacerbated.",David Autor,2,MIT,m,8,7,Strongly Agree,Agree,Unequal PCs/Internet is small part of problem. Adults with skills to home-school in place of teachers are in high income/education HHs.,Inequality and the COVID-19 Crisis
"Question B: With the economy in lockdown, existing gaps in access to quality education between high- and low-income households will be exacerbated.",Daron Acemoglu,2,MIT,m,5,7,Strongly Agree,Agree,"School resources, family resources and living arrangements make online learning much harder for low-income kids",Inequality and the COVID-19 Crisis
"Question B: With the economy in lockdown, existing gaps in access to quality education between high- and low-income households will be exacerbated.",José Scheinkman,2,Columbia University,m,8,7,Strongly Agree,Agree,"Parents education become more important, underfunded schools have worse infrastructure, high cost of cell and cable service in US.",Inequality and the COVID-19 Crisis
"Question B: With the economy in lockdown, existing gaps in access to quality education between high- and low-income households will be exacerbated.",Larry Samuelson,2,Yale,m,10,7,Agree,Agree,Remote education exacerbates the effects that differences in low-income and high-income environments to have on education.,Inequality and the COVID-19 Crisis
"Question B: With the economy in lockdown, existing gaps in access to quality education between high- and low-income households will be exacerbated.",Richard Thaler,2,Chicago,m,6,7,Agree,Agree,NA,Inequality and the COVID-19 Crisis
"Question B: With the economy in lockdown, existing gaps in access to quality education between high- and low-income households will be exacerbated.",David Cutler,2,Harvard,m,6,7,Strongly Agree,Agree,NA,Inequality and the COVID-19 Crisis
"Question B: With the economy in lockdown, existing gaps in access to quality education between high- and low-income households will be exacerbated.",Pinelopi Goldberg,2,Yale,f,9,7,Strongly Agree,Agree,NA,Inequality and the COVID-19 Crisis
"Question B: With the economy in lockdown, existing gaps in access to quality education between high- and low-income households will be exacerbated.",Anil Kashyap,2,Chicago,m,7,7,Strongly Agree,Agree,how does remote learning work for people without wifi and computers?,Inequality and the COVID-19 Crisis
"Question B: With the economy in lockdown, existing gaps in access to quality education between high- and low-income households will be exacerbated.",Darrell Duffie,2,Stanford,m,1,7,Uncertain,Agree,"If low-income had close to zero access before lockdown, it would be hard to make the gap even bigger! I don't know the data well enough.",Inequality and the COVID-19 Crisis
"Question B: With the economy in lockdown, existing gaps in access to quality education between high- and low-income households will be exacerbated.",Caroline Hoxby,2,Stanford,f,10,7,Agree,Agree,NA,Inequality and the COVID-19 Crisis
"Question B: With the economy in lockdown, existing gaps in access to quality education between high- and low-income households will be exacerbated.",Bengt Holmström,2,MIT,m,5,7,Agree,Agree,NA,Inequality and the COVID-19 Crisis
"Question B: With the economy in lockdown, existing gaps in access to quality education between high- and low-income households will be exacerbated.",Raj Chetty,2,Stanford,m,NA,7,Did Not Answer,Agree,NA,Inequality and the COVID-19 Crisis
"Question B: With the economy in lockdown, existing gaps in access to quality education between high- and low-income households will be exacerbated.",Pete Klenow,2,Stanford,m,3,7,Agree,Agree,-see background information here,Inequality and the COVID-19 Crisis
"Question B: With the economy in lockdown, existing gaps in access to quality education between high- and low-income households will be exacerbated.",Alan Auerbach,2,Berkeley,m,5,7,Agree,Agree,NA,Inequality and the COVID-19 Crisis
"Question B: With the economy in lockdown, existing gaps in access to quality education between high- and low-income households will be exacerbated.",Marianne Bertrand,2,Chicago,f,10,7,Strongly Agree,Agree,NA,Inequality and the COVID-19 Crisis
"Question B: With the economy in lockdown, existing gaps in access to quality education between high- and low-income households will be exacerbated.",Markus Brunnermeier,2,Princeton,m,6,7,Agree,Agree,NA,Inequality and the COVID-19 Crisis
"Question B: With the economy in lockdown, existing gaps in access to quality education between high- and low-income households will be exacerbated.",William Nordhaus,2,Yale,m,7,7,Agree,Agree,NA,Inequality and the COVID-19 Crisis
"Question B: With the economy in lockdown, existing gaps in access to quality education between high- and low-income households will be exacerbated.",Jonathan Levin,2,Stanford,m,4,7,Strongly Agree,Agree,NA,Inequality and the COVID-19 Crisis
"Question B: With the economy in lockdown, existing gaps in access to quality education between high- and low-income households will be exacerbated.",James Stock,2,Harvard,m,7,7,Strongly Agree,Agree,NA,Inequality and the COVID-19 Crisis
"Question B: With the economy in lockdown, existing gaps in access to quality education between high- and low-income households will be exacerbated.",Liran Einav,2,Stanford,m,1,7,Strongly Agree,Agree,NA,Inequality and the COVID-19 Crisis
"Question B: With the economy in lockdown, existing gaps in access to quality education between high- and low-income households will be exacerbated.",Michael Greenstone,2,Chicago,m,7,7,Agree,Agree,NA,Inequality and the COVID-19 Crisis
"Question B: With the economy in lockdown, existing gaps in access to quality education between high- and low-income households will be exacerbated.",Austan Goolsbee,2,Chicago,m,10,7,Strongly Agree,Agree,NA,Inequality and the COVID-19 Crisis
"Question B: With the economy in lockdown, existing gaps in access to quality education between high- and low-income households will be exacerbated.",Judith Chevalier,2,Yale,f,8,7,Strongly Agree,Agree,NA,Inequality and the COVID-19 Crisis
"Question B: With the economy in lockdown, existing gaps in access to quality education between high- and low-income households will be exacerbated.",Aaron Edlin,2,Berkeley,m,7,7,Agree,Agree,NA,Inequality and the COVID-19 Crisis
"Question B: With the economy in lockdown, existing gaps in access to quality education between high- and low-income households will be exacerbated.",Angus Deaton,2,Princeton,m,9,7,Strongly Agree,Agree,NA,Inequality and the COVID-19 Crisis
"Question B: With the economy in lockdown, existing gaps in access to quality education between high- and low-income households will be exacerbated.",Hilary Hoynes,2,Berkeley,f,8,7,Agree,Agree,NA,Inequality and the COVID-19 Crisis
"Question B: With the economy in lockdown, existing gaps in access to quality education between high- and low-income households will be exacerbated.",Robert Shimer,2,Chicago,m,6,7,Strongly Agree,Agree,NA,Inequality and the COVID-19 Crisis
"Question B: With the economy in lockdown, existing gaps in access to quality education between high- and low-income households will be exacerbated.",Joseph Altonji,2,Yale,m,7,7,Agree,Agree,NA,Inequality and the COVID-19 Crisis
