DATAFLOW,LAST UPDATE,freq,indic_de,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AL011,2017,27.6,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AL011,2018,28.0,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AL011,2019,28.2,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AL012,2017,27.6,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AL012,2018,27.9,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AL012,2019,28.2,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AL013,2017,29.2,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AL013,2018,29.1,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AL013,2019,29.6,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AL014,2017,28.9,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AL014,2018,28.9,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AL014,2019,28.8,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AL015,2017,28.3,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AL015,2018,28.6,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AL015,2019,28.7,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AL021,2017,28.1,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AL021,2018,28.4,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AL021,2019,28.8,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AL022,2017,29.5,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AL022,2018,29.6,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AL022,2019,29.8,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AL031,2017,27.3,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AL031,2018,27.5,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AL031,2019,27.7,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AL032,2017,27.5,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AL032,2018,27.6,
