DATAFLOW,LAST UPDATE,freq,unit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,UNK,F,TR,1966,0,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,UNK,F,TR,1980,0,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,UNK,F,TR,2020,0,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,UNK,M,TR,1966,0,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,UNK,M,TR,1980,0,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,UNK,M,TR,2020,0,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y1,F,TR,1966,380305,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y1,F,TR,1980,510251,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y1,F,TR,2020,608482,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y1,M,TR,1966,404685,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y1,M,TR,1980,544024,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y1,M,TR,2020,641246,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y10,F,TR,1966,474811,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y10,F,TR,1980,608387,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y10,F,TR,2020,618640,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y10,M,TR,1966,530654,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y10,M,TR,1980,655734,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y10,M,TR,2020,653667,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y11,F,TR,1966,277945,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y11,F,TR,1980,461973,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y11,F,TR,2020,639612,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y11,M,TR,1966,330486,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y11,M,TR,1980,512394,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y11,M,TR,2020,673624,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y12,F,TR,1966,407955,
