DATAFLOW,LAST UPDATE,freq,unit,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,F,Y_LT1,DK,1974,76.9,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,F,Y_LT1,DK,1975,77.1,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,F,Y_LT1,DK,1976,76.8,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,F,Y_LT1,DK,1977,77.9,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,F,Y_LT1,DK,1978,77.6,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,F,Y_LT1,DK,1979,77.5,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,F,Y_LT1,DK,1980,77.3,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,F,Y_LT1,DK,1981,77.5,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,F,Y_LT1,DK,1982,77.8,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,F,Y_LT1,DK,1983,77.7,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,F,Y_LT1,DK,1984,77.8,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,F,Y_LT1,DK,1985,77.6,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,F,Y_LT1,DK,1986,77.7,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,F,Y_LT1,DK,1987,77.9,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,F,Y_LT1,DK,1988,77.8,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,F,Y_LT1,DK,1989,77.9,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,F,Y_LT1,DK,1990,77.8,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,F,Y_LT1,DK,1991,78.1,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,F,Y_LT1,DK,1992,78.0,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,F,Y_LT1,DK,1993,77.8,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,F,Y_LT1,DK,1994,78.2,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,F,Y_LT1,DK,1995,77.9,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,F,Y_LT1,DK,1996,78.3,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,F,Y_LT1,DK,1997,78.6,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,F,Y_LT1,DK,1998,79.0,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,F,Y_LT1,DK,1999,79.0,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,F,Y_LT1,DK,2000,79.2,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,F,Y_LT1,DK,2001,79.3,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,F,Y_LT1,DK,2002,79.4,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,F,Y_LT1,DK,2003,79.8,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,F,Y_LT1,DK,2004,80.2,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,F,Y_LT1,DK,2005,80.5,
ESTAT:DEMO_MLEXPEC(1.0),05/05/22 23:00:00,A,YR,F,Y_LT1,DK,2006,80.7,
