country,percentile,year,value
Austria,Top 10%,1981,0.3285
Austria,Top 10%,1981,0.3272
Austria,Top 10%,1982,0.3293
Austria,Top 10%,1983,0.3342
Austria,Top 10%,1984,0.3337
Austria,Top 10%,1985,0.3322
Austria,Top 10%,1986,0.3325
Austria,Top 10%,1987,0.3355
Austria,Top 10%,1988,0.3349
Austria,Top 10%,1989,0.3357
Austria,Top 10%,1990,0.3338
Austria,Top 10%,1991,0.3328
Austria,Top 10%,1992,0.3316
Austria,Top 10%,1993,0.3323
Austria,Top 10%,1994,0.333
Austria,Top 10%,1995,0.3305
Austria,Top 10%,1996,0.333
Austria,Top 10%,1997,0.3391
Austria,Top 10%,1998,0.3466
Austria,Top 10%,1999,0.3294
Austria,Top 10%,2000,0.3479
Austria,Top 10%,2001,0.3369
Austria,Top 10%,2002,0.3471
Austria,Top 10%,2003,0.3614
Austria,Top 10%,2004,0.3414
Austria,Top 10%,2005,0.3549
Austria,Top 10%,2006,0.3748
Austria,Top 10%,2007,0.353
Austria,Top 10%,2008,0.3553
Austria,Top 10%,2009,0.3424
Austria,Top 10%,2010,0.3472
Austria,Top 10%,2011,0.3386
Austria,Top 10%,2012,0.3189
Austria,Top 10%,2013,0.3212
Austria,Top 10%,2014,0.3408
Austria,Top 10%,2015,0.3331
Austria,Top 10%,2016,0.3417
Austria,Top 10%,2017,0.3338
Austria,Top 10%,2018,0.3352
Austria,Top 10%,2019,0.3388
Austria,Top 1%,1980,0.112
Austria,Top 1%,1981,0.11
Austria,Top 1%,1982,0.1091
Austria,Top 1%,1983,0.1109
Austria,Top 1%,1984,0.1107
Austria,Top 1%,1985,0.1102
Austria,Top 1%,1986,0.1101
Austria,Top 1%,1987,0.1118
Austria,Top 1%,1988,0.1117
Austria,Top 1%,1989,0.1118
Austria,Top 1%,1990,0.1114
Austria,Top 1%,1991,0.1113
Austria,Top 1%,1992,0.1108
Austria,Top 1%,1993,0.1112
Austria,Top 1%,1994,0.1117
Austria,Top 1%,1995,0.1101
Austria,Top 1%,1996,0.1109
Austria,Top 1%,1997,0.1141
Austria,Top 1%,1998,0.1188
Austria,Top 1%,1999,0.1073
Austria,Top 1%,2000,0.1184
Austria,Top 1%,2001,0.1125
Austria,Top 1%,2002,0.1156
Austria,Top 1%,2003,0.1221
Austria,Top 1%,2004,0.1148
Austria,Top 1%,2005,0.1127
Austria,Top 1%,2006,0.1331
Austria,Top 1%,2007,0.1149
Austria,Top 1%,2008,0.1231
Austria,Top 1%,2009,0.1082
Austria,Top 1%,2010,0.1137
Austria,Top 1%,2011,0.1111
Austria,Top 1%,2012,0.0827
Austria,Top 1%,2013,0.0896
Austria,Top 1%,2014,0.111
Austria,Top 1%,2015,0.1016
Austria,Top 1%,2016,0.1108
Austria,Top 1%,2017,0.0988
Austria,Top 1%,2018,0.0992
Austria,Top 1%,2019,0.1012
Austria,Bottom 50%,1980,0.2412
Austria,Bottom 50%,1981,0.2431
Austria,Bottom 50%,1982,0.2431
Austria,Bottom 50%,1983,0.2308
Austria,Bottom 50%,1984,0.2299
Austria,Bottom 50%,1985,0.2235
Austria,Bottom 50%,1986,0.2203
Austria,Bottom 50%,1987,0.232
Austria,Bottom 50%,1988,0.2305
Austria,Bottom 50%,1989,0.2235
Austria,Bottom 50%,1990,0.2273
Austria,Bottom 50%,1991,0.2271
Austria,Bottom 50%,1992,0.2267
Austria,Bottom 50%,1993,0.2274
Austria,Bottom 50%,1994,0.2232
Austria,Bottom 50%,1995,0.2238
Austria,Bottom 50%,1996,0.2213
Austria,Bottom 50%,1997,0.2184
Austria,Bottom 50%,1998,0.2162
Austria,Bottom 50%,1999,0.226
Austria,Bottom 50%,2000,0.2175
Austria,Bottom 50%,2001,0.2249
Austria,Bottom 50%,2002,0.2154
Austria,Bottom 50%,2003,0.2113
Austria,Bottom 50%,2004,0.2185
Austria,Bottom 50%,2005,0.212
Austria,Bottom 50%,2006,0.2028
Austria,Bottom 50%,2007,0.2103
Austria,Bottom 50%,2008,0.2121
Austria,Bottom 50%,2009,0.2141
Austria,Bottom 50%,2010,0.2119
Austria,Bottom 50%,2011,0.2166
Austria,Bottom 50%,2012,0.2243
Austria,Bottom 50%,2013,0.2259
Austria,Bottom 50%,2014,0.2175
Austria,Bottom 50%,2015,0.2198
Austria,Bottom 50%,2016,0.2181
Austria,Bottom 50%,2017,0.2241
Austria,Bottom 50%,2018,0.222
Austria,Bottom 50%,2019,0.2202
Czech Republic,Top 10%,1980,0.182
Czech Republic,Top 10%,1981,0.181
Czech Republic,Top 10%,1982,0.1809
Czech Republic,Top 10%,1983,0.1804
Czech Republic,Top 10%,1984,0.1798
Czech Republic,Top 10%,1985,0.1792
Czech Republic,Top 10%,1986,0.1812
Czech Republic,Top 10%,1987,0.182
Czech Republic,Top 10%,1988,0.1835
Czech Republic,Top 10%,1989,0.1966
Czech Republic,Top 10%,1990,0.2087
Czech Republic,Top 10%,1991,0.2356
Czech Republic,Top 10%,1992,0.2623
Czech Republic,Top 10%,1993,0.2842
Czech Republic,Top 10%,1994,0.2979
Czech Republic,Top 10%,1995,0.2938
Czech Republic,Top 10%,1996,0.299
Czech Republic,Top 10%,1997,0.2864
Czech Republic,Top 10%,1998,0.306
Czech Republic,Top 10%,1999,0.3025
Czech Republic,Top 10%,2000,0.3001
Czech Republic,Top 10%,2001,0.2997
Czech Republic,Top 10%,2002,0.2923
Czech Republic,Top 10%,2003,0.2972
Czech Republic,Top 10%,2004,0.2977
Czech Republic,Top 10%,2005,0.3014
Czech Republic,Top 10%,2006,0.3017
Czech Republic,Top 10%,2007,0.3027
Czech Republic,Top 10%,2008,0.3215
Czech Republic,Top 10%,2009,0.2984
Czech Republic,Top 10%,2010,0.2978
Czech Republic,Top 10%,2011,0.29
Czech Republic,Top 10%,2012,0.3033
Czech Republic,Top 10%,2013,0.2966
Czech Republic,Top 10%,2014,0.3029
Czech Republic,Top 10%,2015,0.3072
Czech Republic,Top 10%,2016,0.2979
Czech Republic,Top 10%,2017,0.2953
Czech Republic,Top 10%,2018,0.2877
Czech Republic,Top 10%,2019,0.2854
Czech Republic,Top 1%,1980,0.0257
Czech Republic,Top 1%,1981,0.0255
Czech Republic,Top 1%,1982,0.0254
Czech Republic,Top 1%,1983,0.0254
Czech Republic,Top 1%,1984,0.0253
Czech Republic,Top 1%,1985,0.0252
Czech Republic,Top 1%,1986,0.0267
Czech Republic,Top 1%,1987,0.0281
Czech Republic,Top 1%,1988,0.0295
Czech Republic,Top 1%,1989,0.0383
Czech Republic,Top 1%,1990,0.0471
Czech Republic,Top 1%,1991,0.0673
Czech Republic,Top 1%,1992,0.0879
Czech Republic,Top 1%,1993,0.1036
Czech Republic,Top 1%,1994,0.1127
Czech Republic,Top 1%,1995,0.1079
Czech Republic,Top 1%,1996,0.1095
Czech Republic,Top 1%,1997,0.1007
Czech Republic,Top 1%,1998,0.1151
Czech Republic,Top 1%,1999,0.1125
Czech Republic,Top 1%,2000,0.1107
Czech Republic,Top 1%,2001,0.1115
Czech Republic,Top 1%,2002,0.106
Czech Republic,Top 1%,2003,0.1069
Czech Republic,Top 1%,2004,0.1082
Czech Republic,Top 1%,2005,0.1155
Czech Republic,Top 1%,2006,0.1055
Czech Republic,Top 1%,2007,0.1129
Czech Republic,Top 1%,2008,0.1356
Czech Republic,Top 1%,2009,0.1139
Czech Republic,Top 1%,2010,0.1073
Czech Republic,Top 1%,2011,0.1031
Czech Republic,Top 1%,2012,0.1114
Czech Republic,Top 1%,2013,0.1041
Czech Republic,Top 1%,2014,0.1061
Czech Republic,Top 1%,2015,0.1122
Czech Republic,Top 1%,2016,0.1077
Czech Republic,Top 1%,2017,0.1073
Czech Republic,Top 1%,2018,0.102
Czech Republic,Top 1%,2019,0.1002
Czech Republic,Bottom 50%,1980,0.3082
Czech Republic,Bottom 50%,1981,0.3123
Czech Republic,Bottom 50%,1982,0.312
Czech Republic,Bottom 50%,1983,0.3126
Czech Republic,Bottom 50%,1984,0.314
Czech Republic,Bottom 50%,1985,0.3146
Czech Republic,Bottom 50%,1986,0.3127
Czech Republic,Bottom 50%,1987,0.3155
Czech Republic,Bottom 50%,1988,0.3145
Czech Republic,Bottom 50%,1989,0.3099
Czech Republic,Bottom 50%,1990,0.3016
Czech Republic,Bottom 50%,1991,0.2907
Czech Republic,Bottom 50%,1992,0.2746
Czech Republic,Bottom 50%,1993,0.261
Czech Republic,Bottom 50%,1994,0.2523
Czech Republic,Bottom 50%,1995,0.2559
Czech Republic,Bottom 50%,1996,0.25
Czech Republic,Bottom 50%,1997,0.2595
Czech Republic,Bottom 50%,1998,0.2496
Czech Republic,Bottom 50%,1999,0.2494
Czech Republic,Bottom 50%,2000,0.2533
Czech Republic,Bottom 50%,2001,0.2548
Czech Republic,Bottom 50%,2002,0.2593
Czech Republic,Bottom 50%,2003,0.2531
Czech Republic,Bottom 50%,2004,0.2514
Czech Republic,Bottom 50%,2005,0.2525
Czech Republic,Bottom 50%,2006,0.2465
Czech Republic,Bottom 50%,2007,0.249
Czech Republic,Bottom 50%,2008,0.2421
Czech Republic,Bottom 50%,2009,0.2548
Czech Republic,Bottom 50%,2010,0.2508
Czech Republic,Bottom 50%,2011,0.2604
Czech Republic,Bottom 50%,2012,0.2531
Czech Republic,Bottom 50%,2013,0.2611
Czech Republic,Bottom 50%,2014,0.2506
Czech Republic,Bottom 50%,2015,0.2456
Czech Republic,Bottom 50%,2016,0.254
Czech Republic,Bottom 50%,2017,0.2518
Czech Republic,Bottom 50%,2018,0.2537
Czech Republic,Bottom 50%,2019,0.255
Poland,Top 10%,1980,0.2247
Poland,Top 10%,1981,0.2247
Poland,Top 10%,1982,0.2247
Poland,Top 10%,1983,0.2247
Poland,Top 10%,1984,0.2316
Poland,Top 10%,1985,0.2275
Poland,Top 10%,1986,0.2272
Poland,Top 10%,1987,0.222
Poland,Top 10%,1988,0.2189
Poland,Top 10%,1989,0.2317
Poland,Top 10%,1990,0.2442
Poland,Top 10%,1991,0.2601
Poland,Top 10%,1992,0.2586
Poland,Top 10%,1993,0.2649
Poland,Top 10%,1994,0.2871
Poland,Top 10%,1995,0.3108
Poland,Top 10%,1996,0.3086
Poland,Top 10%,1997,0.3083
Poland,Top 10%,1998,0.3228
Poland,Top 10%,1999,0.3194
Poland,Top 10%,2000,0.3329
Poland,Top 10%,2001,0.333
Poland,Top 10%,2002,0.3424
Poland,Top 10%,2003,0.352
Poland,Top 10%,2004,0.3631
